"","species","total_length","OOL","head_height","HC_fin","higher_group","swimbladder"
"1","Africanaspis dorissa",23,3.60342748091603,3.27,TRUE,"Arthrodira","False"
"2","Amazichthys trinajsticae",89.7,11.55,13.99,TRUE,"Arthrodira","False"
"3","Coccosteus cuspidatus",39.4,6.49,5.74,TRUE,"Arthrodira","False"
"4","Incisoscutum ritchei",30.2735539033457,4.665,4.067,TRUE,"Arthrodira","False"
"5","Millerosteus minor",14.9480490118577,2.36,2.07,TRUE,"Arthrodira","False"
"6","Plourdosteus canadensis",37.513,7.597,7.49,TRUE,"Arthrodira","False"
"7","Acanthurus olivaceus",17,1.567,3.939,FALSE,"Acanthopterygii","True"
"8","Chaetodon melanotus",12.4,2.09,3.5,FALSE,"Acanthopterygii","True"
"9","Chaetodon melanotus",13.3,2.25,4,FALSE,"Acanthopterygii","True"
"10","Chaetodon melanotus",9.4,1.654,3.039,FALSE,"Acanthopterygii","True"
"11","Chaetodon melanotus",11.4,2.02,3.71,FALSE,"Acanthopterygii","True"
"12","Leiognathus equula",17.4,3.01,4.82,FALSE,"Acanthopterygii","True"
"13","Luvarus imperialis",157.827,22.292,35.56,FALSE,"Acanthopterygii","True"
"14","Luvarus imperialis",143.39,20.334,20.136,FALSE,"Acanthopterygii","True"
"15","Luvarus imperialis",171,25.654,38.358,FALSE,"Acanthopterygii","True"
"16","Naso unicornis",33,3.679,7.535,FALSE,"Acanthopterygii","True"
"17","Naso unicornis",47.5,4.333,9.352,FALSE,"Acanthopterygii","True"
"18","Naso unicornis",32.41,3.72,7.32,FALSE,"Acanthopterygii","True"
"19","Pomacanthus imperator",32,3.99,9.67,FALSE,"Acanthopterygii","True"
"20","Pomacanthus imperator",32.6,4.2,11.6,FALSE,"Acanthopterygii","True"
"21","Pomacanthus imperator",25.1,3.33,7.44491525423729,FALSE,"Acanthopterygii","True"
"22","Pomacanthus imperator",25.2,3.094,6.81081081081081,FALSE,"Acanthopterygii","True"
"23","Channa argus",60.984,12.014,7.58,FALSE,"Acanthopterygii","True"
"24","Nandus prolixus",10.152,2.44915776,2.3769,FALSE,"Acanthopterygii","True"
"25","Atherinomorus aetholepis",7.244,1.158,0.992,FALSE,"Acanthopterygii","True"
"26","Atherinomorus duodecimalis",4.734,0.831,0.7,FALSE,"Acanthopterygii","True"
"27","Atherinomorus insularum",7.6,1.094,1.047,FALSE,"Acanthopterygii","True"
"28","Atherinomorus lacunosus",15.098,2.184,2.424,FALSE,"Acanthopterygii","True"
"29","Atherinomorus lacunosus",8.383,1.327,1.208,FALSE,"Acanthopterygii","True"
"30","Atherinomorus lacunosus",8.074,1.382,1.154,FALSE,"Acanthopterygii","True"
"31","Labidesthes sicculus",7.517,0.891,0.648,FALSE,"Acanthopterygii","True"
"32","Labidesthes sicculus",6.877,0.773,0.583,FALSE,"Acanthopterygii","True"
"33","Labidesthes sicculus",7.505,0.826,0.585,FALSE,"Acanthopterygii","True"
"34","Labidesthes sicculus",6.776,0.749,0.59,FALSE,"Acanthopterygii","True"
"35","Labidesthes sicculus",6.662,0.753,0.558,FALSE,"Acanthopterygii","True"
"36","Labidesthes sicculus",7.219,0.812,0.583,FALSE,"Acanthopterygii","True"
"37","Ablennes hians",55.21,4.153,3.15,FALSE,"Acanthopterygii","True"
"38","Ablennes hians",55.3,4.65,3.03,FALSE,"Acanthopterygii","True"
"39","Ablennes hians",58.858,4.937,2.88,FALSE,"Acanthopterygii","True"
"40","Cheilopogon atrisignis",29.39,3.61,3.5,FALSE,"Acanthopterygii","True"
"41","Cheilopogon furcatus",22.1,2.73,2.66,FALSE,"Acanthopterygii","True"
"42","Cheilopogon unicolor",31.62,4.19,3.68,FALSE,"Acanthopterygii","True"
"43","Cololabis saira",31.9,3.54,2.66,FALSE,"Acanthopterygii","True"
"44","Cololabis saira",32.72,3.96,2.88,FALSE,"Acanthopterygii","True"
"45","Cypselurus poecilopterus",20.86,3.24,3.14,FALSE,"Acanthopterygii","True"
"46","Hemirhamphus far",30.367,3.872,3.122,FALSE,"Acanthopterygii","True"
"47","Hemirhamphus far",23.68,2.98,2.52,FALSE,"Acanthopterygii","True"
"48","Hemirhamphus far",23.02,2.95,2.53,FALSE,"Acanthopterygii","True"
"49","Hemirhamphus far",36.8,4.35,3.42,FALSE,"Acanthopterygii","True"
"50","Hemirhamphus far",16.7,2.03,1.64,FALSE,"Acanthopterygii","True"
"51","Hirundichthys oxycephalus",9.94,1.48,1.25,FALSE,"Acanthopterygii","True"
"52","Hirundichthys oxycephalus",20.32,2.85,2.35,FALSE,"Acanthopterygii","True"
"53","Oryzias dopingdopingensis",4.268,0.6965,0.642,FALSE,"Acanthopterygii","True"
"54","Oryzias dopingdopingensis",3.983,0.67,0.676,FALSE,"Acanthopterygii","True"
"55","Parexocetus brachypterus",16,2.231,2.171,FALSE,"Acanthopterygii","True"
"56","Parexocetus mento",13.7,2.138,1.594,FALSE,"Acanthopterygii","True"
"57","Prognichthys sealei",10.76,1.66,1.505,FALSE,"Acanthopterygii","True"
"58","Strongylura leiura",50.467,5.469,2.902,FALSE,"Acanthopterygii","True"
"59","Strongylura strongylura",25.42,2.972,1.562,FALSE,"Acanthopterygii","True"
"60","Tylosurus crocodilus",49.825,5.073,2.92,FALSE,"Acanthopterygii","True"
"61","Tylosurus crocodilus",107.5,11.439,8.1,FALSE,"Acanthopterygii","True"
"62","Tylosurus crocodilus",65,5.99,3.24,FALSE,"Acanthopterygii","True"
"63","Tylosurus crocodilus",35.2,3.14,1.59,FALSE,"Acanthopterygii","True"
"64","Tylosurus imperialis",92.5,8.2,4.425,FALSE,"Acanthopterygii","True"
"65","Beryx decadactylus",56,10.921,13.568,FALSE,"Acanthopterygii","True"
"66","Beryx decadactylus",54.9,11.31,16.75,FALSE,"Acanthopterygii","True"
"67","Beryx decadactylus",51.1,10.318,14.5915,FALSE,"Acanthopterygii","True"
"68","Centroberyx affinis",31.3,6.006,9.1938,FALSE,"Acanthopterygii","True"
"69","Diretmichthys parini",35.6,7.65,9.98,FALSE,"Acanthopterygii","True"
"70","Cirripectes stigmaticus",6.5,1.35,1.46,FALSE,"Acanthopterygii","True"
"71","Cirripectes stigmaticus",10.9,1.89,2.35,FALSE,"Acanthopterygii","True"
"72","Cirripectes stigmaticus",6.1,1.21,1.38,FALSE,"Acanthopterygii","True"
"73","Salarias fasciatus",7.6,1.21,1.38,FALSE,"Acanthopterygii","True"
"74","Salarias fasciatus",5.7,0.906,0.981,FALSE,"Acanthopterygii","True"
"75","Salarias fasciatus",9.2,1.35,1.495,FALSE,"Acanthopterygii","True"
"76","Salarias fasciatus",9.1,1.386,1.565,FALSE,"Acanthopterygii","True"
"77","Salarias fasciatus",5,0.912,0.939,FALSE,"Acanthopterygii","True"
"78","Salarias fasciatus",5.1,0.761,0.883,FALSE,"Acanthopterygii","True"
"79","Salarias fasciatus",7.1,0.984,1.203,FALSE,"Acanthopterygii","True"
"80","Salarias fasciatus",7.7,1.239,1.348,FALSE,"Acanthopterygii","True"
"81","Salarias fasciatus",13.538,1.806,2.03,FALSE,"Acanthopterygii","True"
"82","Synchiropus sechellensis",13.12,2.27,2,FALSE,"Acanthopterygii","True"
"83","Centropomus parallelus",55.5,10.018,9.85,FALSE,"Acanthopterygii","True"
"84","Centropomus undecimalis",14.149,2.488,1.71,FALSE,"Acanthopterygii","True"
"85","Centropomus undecimalis",82.1,15.4,11.64,FALSE,"Acanthopterygii","True"
"86","Centropomus undecimalis",87,16.8,15.59,FALSE,"Acanthopterygii","True"
"87","Centropomus undecimalis",93,18,13.85,FALSE,"Acanthopterygii","True"
"88","Centropomus undecimalis",60,11.353,9.24,FALSE,"Acanthopterygii","True"
"89","Centropomus undecimalis",62,10.264,9.09,FALSE,"Acanthopterygii","True"
"90","Eleutheronema rhadinum",97.34,16.258,16,FALSE,"Acanthopterygii","True"
"91","Eleutheronema rhadinum",54.6,9.54308,7.53,FALSE,"Acanthopterygii","True"
"92","Lates calcarifer",53.3,11.456,10.736,FALSE,"Acanthopterygii","True"
"93","Lates japonicus",92.246,20.837,20.692,FALSE,"Acanthopterygii","True"
"94","Psammoperca vaigiensis",23.6,4.793,4.773,FALSE,"Acanthopterygii","True"
"95","Sphyraena acutipinnis",34.022,4.708,3.219,FALSE,"Acanthopterygii","True"
"96","Sphyraena africana",35.523,5.173,4.13,FALSE,"Acanthopterygii","True"
"97","Sphyraena arabiansis",104,14.544,8.19,FALSE,"Acanthopterygii","True"
"98","Sphyraena arabiansis",100,12.104,9.27,FALSE,"Acanthopterygii","True"
"99","Sphyraena arabiansis",93.5,13.33304,7.07252,FALSE,"Acanthopterygii","True"
"100","Sphyraena arabiansis",100.6,13.31778,6.73602,FALSE,"Acanthopterygii","True"
"101","Sphyraena arabiansis",91.6,13.096,6.8,FALSE,"Acanthopterygii","True"
"102","Sphyraena barracuda",144.5,19.1,16.5,FALSE,"Acanthopterygii","True"
"103","Sphyraena barracuda",96.5,12.2,10,FALSE,"Acanthopterygii","True"
"104","Sphyraena barracuda",48.3,6.24,5.02,FALSE,"Acanthopterygii","True"
"105","Sphyraena barracuda",52.3,6.771,5.071,FALSE,"Acanthopterygii","True"
"106","Sphyraena barracuda",110.076,14.793,12.811,FALSE,"Acanthopterygii","True"
"107","Sphyraena chrysotaenia",26.9,4.149,3.177,FALSE,"Acanthopterygii","True"
"108","Sphyraena flavicauda",39.5,5.3,3.788,FALSE,"Acanthopterygii","True"
"109","Sphyraena flavicauda",36.3,5.418,3.683,FALSE,"Acanthopterygii","True"
"110","Sphyraena flavicauda",42,5.922,4.231,FALSE,"Acanthopterygii","True"
"111","Sphyraena idiastes",48.115,6.552,4.368,FALSE,"Acanthopterygii","True"
"112","Sphyraena jello",101.643,13.687,9.212,FALSE,"Acanthopterygii","True"
"113","Sphyraena putnamae",78.515,11.045,8.583,FALSE,"Acanthopterygii","True"
"114","Sphyraena putnamae",53.898,7.154,5.561,FALSE,"Acanthopterygii","True"
"115","Sphyraena putnamae",41.9,5.731,3.876,FALSE,"Acanthopterygii","True"
"116","Sphyraena putnamae",45.6,5.716,3.986,FALSE,"Acanthopterygii","True"
"117","Sphyraena putnamae",50.8,6.45,5.05,FALSE,"Acanthopterygii","True"
"118","Sphyraena qenie",119.2,16.26,13.31,FALSE,"Acanthopterygii","True"
"119","Sphyraena qenie",21.3324,2.6448,1.92,FALSE,"Acanthopterygii","True"
